"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2024","403.90","446.00","447.75","391.60","259.98M","-8.87%"
"01-09-2024","443.20","417.80","448.45","385.30","410.44M","6.49%"
"01-08-2024","416.20","419.90","426.30","393.30","349.83M","0.05%"
"01-07-2024","416.00","381.75","417.40","361.55","455.79M","9.95%"
"01-06-2024","378.35","385.00","393.20","313.95","459.40M","5.39%"
"01-05-2024","359.00","363.20","380.25","344.85","163.22M","-1.16%"
"01-04-2024","363.20","339.00","374.50","336.15","336.97M","8.16%"
"01-03-2024","335.80","335.60","359.95","305.75","349.55M","0.06%"
"01-02-2024","335.60","320.05","348.05","314.50","329.75M","5.62%"
"01-01-2024","317.75","311.50","325.75","296.60","267.94M","2.12%"
"01-12-2023","311.15","262.35","315.50","261.75","380.27M","19.08%"
"01-11-2023","261.30","236.70","261.65","232.10","195.57M","10.81%"
"01-10-2023","235.80","244.35","247.20","227.75","252.16M","-3.97%"
"01-09-2023","245.55","217.85","251.50","216.15","357.77M","11.46%"
"01-08-2023","220.30","219.55","226.65","211.80","333.63M","0.89%"
"01-07-2023","218.35","190.00","218.95","184.75","318.72M","15.44%"
"01-06-2023","189.15","173.60","191.65","171.85","234.45M","8.80%"
"01-05-2023","173.85","172.65","180.00","171.95","214.85M","1.08%"
"01-04-2023","172.00","175.60","179.75","166.80","193.79M","-1.77%"
"01-03-2023","175.10","170.95","182.20","169.95","270.28M","2.70%"
"01-02-2023","170.50","172.25","174.25","162.55","240.34M","-0.38%"
"01-01-2023","171.15","167.05","172.65","164.00","233.63M","2.82%"
"01-12-2022","166.45","173.50","176.00","161.90","182.80M","-3.34%"
"01-11-2022","172.20","174.00","182.95","164.15","293.66M","-0.52%"
"01-10-2022","173.10","159.85","174.70","158.95","216.55M","8.42%"
"01-09-2022","159.65","161.50","176.15","155.00","385.66M","-2.65%"
"01-08-2022","164.00","152.90","165.45","151.00","329.84M","7.22%"
"01-07-2022","152.95","142.00","154.45","136.10","232.45M","7.03%"
"01-06-2022","142.90","156.45","160.20","134.95","419.97M","-8.40%"
"01-05-2022","156.00","154.60","161.90","141.65","495.74M","-0.13%"
"01-04-2022","156.20","138.00","166.35","136.80","498.63M","15.70%"
"01-03-2022","135.00","132.80","136.15","126.90","254.35M","1.12%"
"01-02-2022","133.50","144.00","144.15","123.65","206.60M","-6.02%"
"01-01-2022","142.05","125.40","144.00","124.70","293.50M","14.19%"
"01-12-2021","124.40","130.00","132.95","119.10","264.91M","-2.24%"
"01-11-2021","127.25","133.20","141.40","124.70","227.17M","-4.07%"
"01-10-2021","132.65","140.95","152.10","128.55","410.94M","-6.49%"
"01-09-2021","141.85","116.00","144.25","112.40","351.70M","22.34%"
"01-08-2021","115.95","118.60","119.50","111.95","213.00M","-1.90%"
"01-07-2021","118.20","116.80","122.00","115.25","267.38M","1.55%"
"01-06-2021","116.40","110.95","121.00","109.50","449.22M","5.34%"
"01-05-2021","110.50","101.40","116.75","101.05","384.11M","7.86%"
"01-04-2021","102.45","107.50","108.75","97.05","322.07M","-3.85%"
"01-03-2021","106.55","109.50","114.70","102.00","556.35M","-0.70%"
"01-02-2021","107.30","89.35","110.95","88.40","724.61M","20.63%"
"01-01-2021","88.95","99.95","104.35","88.15","529.87M","-10.47%"
"01-12-2020","99.35","94.70","107.25","93.45","710.02M","4.91%"
"01-11-2020","94.70","88.30","97.05","83.05","1.06B","8.11%"
"01-10-2020","87.60","85.80","90.65","78.10","615.79M","2.94%"
"01-09-2020","85.10","97.50","101.15","82.15","544.93M","-11.72%"
"01-08-2020","96.40","87.20","108.00","85.00","764.29M","10.80%"
"01-07-2020","87.00","94.70","96.40","85.85","337.56M","-9.19%"
"01-06-2020","95.80","98.40","103.80","89.90","389.66M","-2.10%"
"01-05-2020","97.85","91.05","98.85","85.65","292.62M","2.95%"
"01-04-2020","95.05","84.30","101.00","78.85","369.49M","12.89%"
"01-03-2020","84.20","109.35","111.00","73.20","677.03M","-20.98%"
"01-02-2020","106.55","112.85","118.90","103.80","381.52M","-5.58%"
"01-01-2020","112.85","119.05","125.00","110.90","283.40M","-5.21%"
"01-12-2019","119.05","115.75","119.70","109.70","153.88M","2.32%"
"01-11-2019","116.35","123.00","123.20","114.80","184.27M","-4.94%"
"01-10-2019","122.40","118.00","124.20","114.60","208.89M","4.17%"
"01-09-2019","117.50","121.95","129.65","114.05","248.82M","-3.41%"
"01-08-2019","121.65","126.40","127.75","113.85","292.26M","-3.87%"
"01-07-2019","126.55","142.20","145.85","125.50","361.25M","-10.47%"
"01-06-2019","141.35","134.40","142.00","131.40","193.92M","6.08%"
"01-05-2019","133.25","133.30","136.65","122.40","240.94M","-0.60%"
"01-04-2019","134.05","136.40","138.30","131.45","211.05M","-0.48%"
"01-03-2019","134.70","118.08","142.00","118.04","473.90M","14.44%"
"01-02-2019","117.71","116.67","119.12","106.67","316.50M","1.11%"
"01-01-2019","116.42","124.12","125.25","113.87","224.77M","-6.27%"
"01-12-2018","124.21","116.96","126.33","111.71","274.45M","6.24%"
"01-11-2018","116.92","133.12","133.83","114.62","185.24M","-12.12%"
"01-10-2018","133.04","139.58","141.92","129.00","216.67M","-4.32%"
"01-09-2018","139.04","143.75","146.17","137.00","101.32M","-2.71%"
"01-08-2018","142.92","129.00","145.46","127.29","102.89M","10.75%"
"01-07-2018","129.04","132.50","133.00","124.87","155.04M","-3.01%"
"01-06-2018","133.04","139.58","139.58","124.58","124.93M","-4.72%"
"01-05-2018","139.62","143.96","146.83","135.58","159.73M","-2.67%"
"01-04-2018","143.46","141.58","150.00","137.92","92.50M","1.44%"
"01-03-2018","141.42","136.42","143.96","133.37","109.56M","3.95%"
"01-02-2018","136.04","141.04","141.50","132.37","117.78M","-4.11%"
