"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2024","263.35","297.00","299.65","255.35","267.81M","-11.51%"
"01-09-2024","297.60","330.00","331.95","282.50","406.61M","-10.02%"
"01-08-2024","330.75","337.80","345.00","305.15","503.34M","-1.03%"
"01-07-2024","334.20","275.00","339.55","271.50","645.19M","21.88%"
"01-06-2024","274.20","277.95","286.55","223.00","436.93M","3.73%"
"01-05-2024","264.35","281.80","292.95","262.10","170.41M","-6.54%"
"01-04-2024","282.85","268.05","292.55","265.00","441.26M","5.52%"
"01-03-2024","268.05","266.50","284.95","248.90","295.68M","1.30%"
"01-02-2024","264.60","254.65","281.15","245.45","485.80M","4.52%"
"01-01-2024","253.15","206.25","263.30","204.00","368.15M","23.46%"
"01-12-2023","205.05","195.25","212.00","192.05","349.35M","5.18%"
"01-11-2023","194.95","186.15","203.40","185.05","208.28M","4.73%"
"01-10-2023","186.15","189.30","189.80","179.90","186.61M","-2.97%"
"01-09-2023","191.85","174.40","192.25","174.40","236.35M","10.16%"
"01-08-2023","174.15","175.30","180.45","171.50","142.54M","-1.64%"
"01-07-2023","177.05","160.30","177.50","160.00","171.74M","10.45%"
"01-06-2023","160.30","154.70","161.00","152.55","231.78M","3.49%"
"01-05-2023","154.90","159.50","169.00","150.05","323.71M","-2.55%"
"01-04-2023","158.95","154.50","161.80","150.00","179.73M","5.23%"
"01-03-2023","151.05","152.00","159.70","146.50","197.39M","-0.66%"
"01-02-2023","152.05","145.80","158.80","140.10","237.98M","4.93%"
"01-01-2023","144.90","147.30","154.15","143.25","299.01M","-1.26%"
"01-12-2022","146.75","141.45","150.50","139.20","298.52M","4.00%"
"01-11-2022","141.10","134.10","143.80","132.90","284.75M","5.26%"
"01-10-2022","134.05","131.70","136.55","125.80","264.30M","5.72%"
"01-09-2022","126.80","135.00","136.25","121.50","329.38M","-8.51%"
"01-08-2022","138.60","134.10","141.90","129.80","481.69M","3.32%"
"01-07-2022","134.15","148.95","151.15","119.85","792.07M","-11.48%"
"01-06-2022","151.55","151.20","167.35","130.00","757.50M","0.20%"
"01-05-2022","151.25","158.15","168.40","141.10","452.35M","-5.73%"
"01-04-2022","160.45","163.90","179.80","159.50","309.59M","-2.10%"
"01-03-2022","163.90","165.65","194.95","161.15","879.98M","2.02%"
"01-02-2022","160.65","174.00","176.35","155.80","401.51M","-6.92%"
"01-01-2022","172.60","142.35","174.85","141.20","373.48M","21.21%"
"01-12-2021","142.40","142.40","150.50","131.65","228.70M","0.21%"
"01-11-2021","142.10","150.00","162.25","141.10","357.50M","-4.66%"
"01-10-2021","149.05","145.20","172.75","144.10","685.08M","3.15%"
"01-09-2021","144.50","121.80","148.80","117.50","543.96M","19.87%"
"01-08-2021","120.55","114.95","121.00","108.50","281.21M","4.55%"
"01-07-2021","115.30","117.75","125.00","111.60","310.97M","-2.04%"
"01-06-2021","117.70","114.35","128.50","114.20","693.57M","3.56%"
"01-05-2021","113.65","108.15","121.15","106.00","559.24M","5.09%"
"01-04-2021","108.15","103.00","112.70","97.45","413.02M","5.87%"
"01-03-2021","102.15","114.30","122.35","100.25","655.22M","-7.97%"
"01-02-2021","111.00","89.00","120.50","88.45","824.46M","25.71%"
"01-01-2021","88.30","93.75","107.90","87.75","608.64M","-5.10%"
"01-12-2020","93.05","78.50","105.60","77.05","981.75M","18.54%"
"01-11-2020","78.50","65.40","81.80","64.20","481.31M","20.96%"
"01-10-2020","64.90","67.50","73.35","64.10","426.81M","-6.28%"
"01-09-2020","69.25","82.75","82.80","65.50","438.86M","-15.50%"
"01-08-2020","81.95","78.35","85.50","75.55","400.77M","4.66%"
"01-07-2020","78.30","79.00","84.90","75.00","376.04M","-3.75%"
"01-06-2020","81.35","85.00","93.10","80.00","546.50M","-2.22%"
"01-05-2020","83.20","76.00","83.75","72.40","430.80M","4.13%"
"01-04-2020","79.90","67.00","81.05","60.80","522.48M","16.98%"
"01-03-2020","68.30","94.00","95.00","50.00","1.13B","-25.72%"
"01-02-2020","91.95","109.00","109.75","89.50","457.64M","-15.60%"
"01-01-2020","108.95","128.75","133.40","106.75","345.49M","-15.41%"
"01-12-2019","128.80","131.05","131.45","124.05","168.14M","-2.24%"
"01-11-2019","131.75","140.55","149.65","129.25","165.12M","-7.02%"
"01-10-2019","141.70","131.50","146.15","123.95","229.64M","7.51%"
"01-09-2019","131.80","120.50","140.85","115.55","271.43M","8.75%"
"01-08-2019","121.20","138.50","139.75","115.75","234.73M","-12.71%"
"01-07-2019","138.85","168.20","170.40","136.25","284.76M","-17.23%"
"01-06-2019","167.75","173.00","173.50","162.95","184.56M","-2.44%"
"01-05-2019","171.95","169.30","178.90","160.85","229.11M","1.63%"
"01-04-2019","169.20","160.50","171.15","153.30","322.75M","5.92%"
"01-03-2019","159.75","149.90","163.20","145.70","339.47M","7.47%"
"01-02-2019","148.65","141.00","150.75","127.60","280.62M","5.24%"
"01-01-2019","141.25","150.00","150.10","138.50","185.62M","-5.77%"
"01-12-2018","149.90","140.95","151.50","134.75","288.39M","6.84%"
"01-11-2018","140.30","155.50","165.00","137.65","182.51M","-8.45%"
"01-10-2018","153.25","179.30","183.50","144.70","215.18M","-13.52%"
"01-09-2018","177.20","180.75","185.40","166.20","121.62M","-1.58%"
"01-08-2018","180.05","165.25","181.90","162.50","134.22M","8.66%"
"01-07-2018","165.70","157.85","166.75","152.45","144.36M","4.61%"
"01-06-2018","158.40","176.00","176.00","151.80","134.88M","-10.96%"
"01-05-2018","177.90","181.50","192.00","155.15","183.06M","-1.47%"
"01-04-2018","180.55","179.10","186.25","174.70","87.65M","1.55%"
"01-03-2018","177.80","187.90","190.20","173.60","88.39M","-5.58%"
"01-02-2018","188.30","204.05","207.05","180.10","128.67M","-7.45%"
"01-01-2018","203.45","195.20","212.85","192.00","198.60M","4.23%"
"01-12-2017","195.20","182.00","197.15","175.35","129.70M","8.05%"
"01-11-2017","180.65","192.00","205.50","175.80","158.38M","-5.47%"
"01-10-2017","191.10","174.00","192.00","167.75","135.47M","11.79%"
"01-09-2017","170.95","158.00","174.35","157.30","210.19M","8.92%"
"01-08-2017","156.95","170.25","170.30","156.05","133.77M","-7.35%"
"01-07-2017","169.40","157.40","170.00","155.90","176.17M","7.69%"
"01-06-2017","157.30","176.90","178.50","155.20","141.50M","-11.13%"
"01-05-2017","177.00","188.00","194.75","171.20","152.44M","-5.12%"
"01-04-2017","186.55","185.20","188.70","178.30","103.22M","0.84%"
"01-03-2017","185.00","196.70","197.20","183.00","159.69M","-4.42%"
"01-02-2017","193.55","203.00","205.00","190.80","141.88M","-4.44%"
"01-01-2017","202.55","191.80","211.80","191.15","166.93M","5.85%"
"01-12-2016","191.35","196.67","209.73","187.70","156.71M","-0.65%"
"01-11-2016","192.60","193.53","194.13","166.67","164.62M","-0.10%"
"01-10-2016","192.80","171.33","198.27","168.27","187.09M","12.68%"
"01-09-2016","171.10","158.00","175.57","156.73","195.15M","8.61%"
"01-08-2016","157.53","148.20","162.60","145.07","126.30M","7.36%"
"01-07-2016","146.73","144.60","161.03","144.30","160.20M","1.76%"
"01-06-2016","144.20","140.93","148.47","138.00","101.93M","2.63%"
